Year,Month,Company name,Country,Amount (in millions USD),Funding round,Lead investor,,,
2020,Mar,3D Lifeprints,UK,1.7,Not specified,Fenwall Investments,,,
2020,Jul,ToffeeAM,UK,1.4,Seed,IQ Capital,,,
2020,Oct,Regemat 3D,UK,0.4,Crowd,Crowdcube,,,
2020,Dec,Meta Additive,UK,1.7,Grant,Innovate UK Smart Grant,,,
2021,Feb,Atherton Bike,UK,0.5,Seed,"Angel Investment Network Khosla Ventures, Zeno Ventures SuperSeed",,,
2021,Feb,Ai Build,UK,1,Seed,"40 North Ventures, Honeywell",,,
2021,Feb,Atherton Bike,UK,0.5,Seed,Angel Investment Network,,,
2021,Feb,Ai Build,UK,1,Seed,SuperSeed,,,
2021,Mar,Additive Manufacturing Technologies,UK,3.3,Not specified,NPIF   Mercia Equity Finance,,,
2021,Apr,Geomiq,UK,3.8,Seed,Samaipata,,,
2021,Oct,AMT,UK,14.5,Series B,Foresight Williams Technology Funds,,,
2022,Feb,Nuclera,UK,42.5,Series B,"M&G, Amadeus Capital Partners",,,
2022,Feb,Q5D,UK,2.5,Seed,Chrysalix Vcenture Capital,,,
2022,Feb,Nuclera,UK,42.5,Series B,"M&G, Amadeus Capital Partners",,,
2022,Feb,Q5D,UK,2.5,Seed,Chrysalix Venture Capital,,,
2022,Jun,Ai Build,UK,3.2,Not specified,ACT Venture Partners,,,
2022,Jul,Geomiq,UK,8.4,Series A,AXA Ventures,,,
2022,Oct,Orbex,UK,48.5,Series C,Scottish National investment bank,,,
2022,Nov,Axial3D,UK,15,Not specified,Stratasys,,,
2023,Mar,Evove,UK,7.2,,At One Ventures,,,
2023,Mar,OSSTEC,UK,1.5,Seed,SFC Capltal,,,
2023,Apr,Wayland Additive,UK,5.8,,Longwall Ventures,,,
2023,Aug,Evo3D,UK,1.4,Grant,Innovate UK,,,
2023,Oct,Al Bulld,UK,8.5,Series A,IQ Capltal,,,
2024,Jan,WAAM3D,UK,,,Accuron,,,
2024,Jan,Wayland Additive,UK,5.3,,Parkwalk AdvIsors,,,
2024,Jan,Carclnotech,UK,5.3,,Eos AdvIsory,,,
2024,Feb,AMFG,UK,0.6,Grant,,,,
2024,Feb,Rivelln Robotics,UK,0.6,Grant,Innovate UK,,,
